Fe,Mn,Si,Cr,Ni,Co,Ga,Ge,Ti,RE,N,Al,Mo,C,Ms,Mf,As,Af,T0(Ms+As)/2,Tc,Tn,Tm(peak mart.temp),TA(peak aus.temP),P(sf) stacking fault(10^-3),Grain size(μm),critical stress induced martensite(σm),Hardness γ (HV),strain hardening exponent(n),Aging temperature(K),c/a ratio,e/a valence electronic concentrations,ΔH(ε-γ) (J/gm),ΔT (As-Ms),ΔS(J/kg)K,ΔV,Stress(Mpa),lattice parameter(γ): a,lattice parameter(ε): a,lattice parameter(ε): c,L21-phase parameter,lattice parameter(ε): b,Volume fraction (ε),Volume fraction (γ),Volume fraction(α'),pre- strain (%),Degree of Recovery(%),Recoverable strain(%),One cycle training(Degree of Recovery(%),Two cycles training(Degree of Recovery(%),Five training cycle(Degree of Recovery(%),Experimental Method,Experimental Method used ,Measurement Technique,alloy preparation,specimen dimension,specimen dimension(l)(mm),specimen dimension(b)(mm),specimen dimension(d)(mm),Annealing temperature(K),Annealing time(h),cooling
70.9,26.6,2.5,0,0,0,0,0,0,0,0,0,0,0,391,nan,465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
81.7,17.3,1,0,0,0,0,0,0,0,0,0,0,0,405,nan,467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
78.35,18.65,3,0,0,0,0,0,0,0,0,0,0,0,430,nan,490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
81,17,2,0,0,0,0,0,0,0,0,0,0,0,436,nan,490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
66,28.1,5.9,0,0,0,0,0,0,0,0,0,0,0,343,nan,413,nan,nan,nan,264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,18.8,0.47,nan,nan,nan,Thermomechanical treatment (combination of deformation and annealing),Thermomechanical treatment,"X-ray diffraction, magnetic susceptibility",Induction furnace melting in vacuum,"4mm in diameter, 23mm in length",23,4,23,1473,1,nan
63.3,30.5,6.2,0,0,0,0,0,0,0,0,0,0,0,nan,nan,391,nan,nan,nan,273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,43.2,1.08,nan,nan,nan,Thermomechanical treatment (combination of deformation and annealing),Thermomechanical treatment,"X-ray diffraction, magnetic susceptibility",Induction furnace melting in vacuum,"4mm in diameter, 23mm in length",23,4,23,1473,1,nan
61.7,32.3,6,0,0,0,0,0,0,0,0,0,0,0,293,nan,388,nan,nan,nan,284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,46.8,1.17,nan,nan,nan,Thermomechanical treatment (combination of deformation and annealing),Thermomechanical treatment,"X-ray diffraction, magnetic susceptibility",Induction furnace melting in vacuum,"4mm in diameter, 23mm in length",23,4,23,1473,1,nan
63.64,30.3,6.06,0,0,0,0,0,0,0,0,0,0,0,323,nan,nan,nan,nan,nan,nan,nan,nan,2.396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Heat treatment,Heat treatment,four probe electrical resistance method,Melted in a vacuum induction furnace using high purity raw materials,80 mm x 2 mm x 1 mm,80,2,1,1073,0.5,water bath 
67.77,26.36,5.87,0,0,0,0,0,0,0,0,0,0,0,354,nan,nan,nan,nan,nan,nan,nan,nan,2.854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Heat treatment,Heat treatment,four probe electrical resistance method,Melted in a vacuum induction furnace using high purity raw materials,80 mm x 2 mm x 1 mm,80,2,1,1073,0.5,water bath 
70.72,23.37,5.91,0,0,0,0,0,0,0,0,0,0,0,372,nan,nan,nan,nan,nan,nan,nan,nan,3.649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Heat treatment,Heat treatment,four probe electrical resistance method,Melted in a vacuum induction furnace using high purity raw materials,80 mm x 2 mm x 1 mm,80,2,1,1073,0.5,water bath 
72,22,6,0,0,0,0,0,0,0,0,0,0,0,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
70,24,6,0,0,0,0,0,0,0,0,0,0,0,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
67,27,6,0,0,0,0,0,0,0,0,0,0,0,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
66,28,6,0,0,0,0,0,0,0,0,0,0,0,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
65.5,28.5,6,0,0,0,0,0,0,0,0,0,0,0,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
64,30,6,0,0,0,0,0,0,0,0,0,0,0,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,0.5,water bath 
73.41,24.8,1.79,0,0,0,0,0,0,0,0,0,0,0,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.86,25.8,2.34,0,0,0,0,0,0,0,0,0,0,0,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.7,26.3,3,0,0,0,0,0,0,0,0,0,0,0,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.73,26.9,3.37,0,0,0,0,0,0,0,0,0,0,0,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.6,17.5,1.9,0,0,0,0,0,0,0,0,0,0,0,436,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.5,19.5,2,0,0,0,0,0,0,0,0,0,0,0,420,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.8,22.2,4,0,0,0,0,0,0,0,0,0,0,0,410,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.9,24.2,1.9,0,0,0,0,0,0,0,0,0,0,0,399,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.3,24.5,4.2,0,0,0,0,0,0,0,0,0,0,0,396,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.8,26.5,4.7,0,0,0,0,0,0,0,0,0,0,0,376,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22.9,6.1,0,0,0,0,0,0,0,0,0,0,0,402,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.2,24.4,6.4,0,0,0,0,0,0,0,0,0,0,0,379,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.1,27,5.9,0,0,0,0,0,0,0,0,0,0,0,363,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.1,19.9,1.1,0,0,0,0,0,0,0,0,0,0,0,408,,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.9,22.1,1,0,0,0,0,0,0,0,0,0,0,0,399,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.5,22.8,2.8,0,0,0,0,0,0,0,0,0,0,0,401,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.4,23.2,2.4,0,0,0,0,0,0,0,0,0,0,0,384,,510,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.9,17.6,4.5,0,0,0,0,0,0,0,0,0,0,0,409,,547,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.2,20,4.8,0,0,0,0,0,0,0,0,0,0,0,402,,575,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.3,20.5,5.2,0,0,0,0,0,0,0,0,0,0,0,336,,458,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,26,5,0,0,0,0,0,0,0,0,0,0,0,334,,509,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
